"Priority","Category","Score","Family","OriginalPath","CopiedPath","Evidence"
"2","Current Clearbox log/reason path","56","clearbox","E:\clearbox-ai-studio-v2-main\Conversations\threads\daily_logger.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\8eddbf84fd58__daily_logger.py","audit;daily_logger;event;log;logger;logging;session;stream | input;memory;process;subprocess;system;trigger | model;summarize;summarizer"
"2","Current Clearbox log/reason path","55","clearbox","E:\clearbox-ai-studio-v2-main\bridges\services\llm_chat_service.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\7f3bea45d553__llm_chat_service.py","log;logger;perf;performance;reasoning_log;session;stream;telemetry;trace | cpu;gpu;system;trigger | infer;inference;model;predict;reason;reasoning;summarize"
"2","Current Clearbox log/reason path","49","clearbox","E:\clearbox-ai-studio-v2-main\core\lakespeak\ingest\pipeline.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\a4c057d5b102__pipeline.py","binary_store;event;evidence_store;log;logger;logging;observe | gpu;input;memory;system | pattern;reason"
"2","Current Clearbox log/reason path","47","clearbox","E:\clearbox-ai-studio-v2-main\bridges\services\chain_executor.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\79dc671e823d__chain_executor.py","log;logger;reasoning_log;session;stream;telemetry;trace | input;memory;socket;system | infer;inference;model;pattern;reason;reasoning;summarize"
"2","Current Clearbox log/reason path","46","clearbox","E:\clearbox-ai-studio-v2-main\Conversations\threads\reasoning_log.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\9219f2cc2b41__reasoning_log.py","activity;capture;event;log;logger;logging;reasoning_log;trace | memory;system | model;reason;reasoning"
"2","Current Clearbox log/reason path","45","clearbox","E:\clearbox-ai-studio-v2-main\core\lakespeak\retrieval\query.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\40ddd74c9ade__query.py","binary_store;event;log;logger;logging;session;trace | process;system | analyze;decision;evaluate;model;reason;score"
"2","Current Clearbox log/reason path","45","clearbox","E:\clearbox-ai-studio-v2-main\scripts\clearbox_tray.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\aa932bf3e2ab__clearbox_tray.py","capture;event;log;logging;monitor;stream | ctypes;keyboard;netstat;process;socket;subprocess;system | diagnostic;model"
"2","Current Clearbox log/reason path","41","clearbox","E:\clearbox-ai-studio-v2-main\bridges\clearbox_bridge.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\01949c103bbc__clearbox_bridge.py","binary_store;history;log;logger;logging;stream | cpu;gpu;memory | diagnostic;infer;inference;reason"
"2","Current Clearbox log/reason path","41","clearbox","E:\clearbox-ai-studio-v2-main\core\lakespeak\events\training_logger.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\6557da6ad96a__training_logger.py","audit;event;log;logger;logging;session | system | decision;model;reason;score"
"2","Current Clearbox log/reason path","40","clearbox","E:\clearbox-ai-studio-v2-main\bridges\services\system_info.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\4fc2868372c7__system_info.py","log;metric;metrics;stream | memory;process;psutil;socket;subprocess;system | model;predict;reason;reasoning"
"2","Current Clearbox log/reason path","40","clearbox","E:\clearbox-ai-studio-v2-main\Conversations\threads\lessons.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\436f1e70f662__lessons.py","log;logger;logging;session;stream | memory;system;trigger | decision;model;summarize;summarizer"
"2","Current Clearbox log/reason path","40","clearbox","E:\clearbox-ai-studio-v2-main\Conversations\threads\map_manager.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\8b883f54c2d1__map_manager.py","event;log;logger;logging;observe;stream | memory;system | infer;score"
"2","Current Clearbox log/reason path","39","clearbox","E:\clearbox-ai-studio-v2-main\security\gateway.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\ff2d94902d54__gateway.py","audit;event;log;observe;session | input;memory;system;trigger | reason;reasoning"
"2","Current Clearbox log/reason path","38","clearbox","E:\clearbox-ai-studio-v2-main\Conversations\threads\summarizer.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\31604230f476__summarizer.py","daily_logger;log;logger;logging;session;stream | system;trigger | decision;model;summarize;summarizer"
"2","Current Clearbox log/reason path","38","clearbox","E:\clearbox-ai-studio-v2-main\core\observe\catalog.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\e0b77e7ebf84__catalog.py","log;observe;sensor | cpu;gpu;memory;network;packet;process;psutil;subprocess;system | model"
"2","Current Clearbox log/reason path","38","clearbox","E:\clearbox-ai-studio-v2-main\security\data_paths.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\f5c9cf365bbc__data_paths.py","audit;event;history;log;logging;observe;session | memory | diagnostic;model;reason;reasoning"
"2","Current Clearbox log/reason path","37","clearbox","E:\clearbox-ai-studio-v2-main\core\lakespeak\events\eval_harness.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\ba6cf0dd26ff__eval_harness.py","event;log;logger;logging;metric;metrics | mss | decision;evaluate;score"
"2","Current Clearbox log/reason path","36","clearbox","E:\clearbox-ai-studio-v2-main\bridges\routers\memory.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\c78dc9daea9f__memory.py","log;logger;logging | memory;system;trigger | model;pattern;reason;reasoning;summarize;summarizer"
"2","Current Clearbox log/reason path","36","clearbox","E:\clearbox-ai-studio-v2-main\bridges\services\chat_pack_service.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\25a27dbb232b__chat_pack_service.py","log;logger;perf;session;stream;telemetry;trace | gpu | infer;inference;model;predict;reason;reasoning"
"2","Current Clearbox log/reason path","36","clearbox","E:\clearbox-ai-studio-v2-main\core\reasoning_616\engine.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\6a8eeff1be1a__engine.py","evidence_store;log;logger;logging;metric;metrics | input;process | classif;reason;reasoning;score"
"2","Current Clearbox log/reason path","35","clearbox","E:\clearbox-ai-studio-v2-main\bridges\services\inference.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\c7c4331c1985__inference.py","log;logger;logging;stream;trace | input;system | infer;inference;model;predict;reason;reasoning"
"2","Current Clearbox log/reason path","35","clearbox","E:\clearbox-ai-studio-v2-main\core\observe\resolver.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\4eb0467a8aae__resolver.py","log;observe;perf;performance;sensor | cpu;gpu;memory;network;process;system | pattern"
"2","Current Clearbox log/reason path","32","clearbox","E:\clearbox-ai-studio-v2-main\scripts\citation_server.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\0fc2de01b31a__citation_server.py","binary_store;log;logger;logging;trace | win32 | model;reason;score"
"2","Current Clearbox log/reason path","31","clearbox","E:\clearbox-ai-studio-v2-main\bridges\routers\chat.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\0491907e2c5b__chat.py","history;log;logger;logging;telemetry;trace | socket | infer;inference;model;reason;reasoning"
"2","Current Clearbox log/reason path","31","clearbox","E:\clearbox-ai-studio-v2-main\bridges\routers\control.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\clearbox\d166798e25d8__control.py","event;history;log;session;telemetry;trace | system | model;reason;reasoning"
"3","Machine/input/network collector","75","compucog","H:\_BACKUPS\CompuCog_20260130_070311\CompuCog_Visual_v2 POSSIBLE KEEPER\loggers\input_logger.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\6cf79882f4d3__input_logger.py","camera;ctypes;input;keyboard;mouse;movement;process;psutil;system;webcam;win32 | "
"3","Machine/input/network collector","75","compucog","H:\_BACKUPS\CompuCog_20260130_070545\CompuCog_Visual_v2 POSSIBLE KEEPER\loggers\input_logger.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\afa2a7fd39e7__input_logger.py","camera;ctypes;input;keyboard;mouse;movement;process;psutil;system;webcam;win32 | "
"3","Machine/input/network collector","75","compucog","H:\_BACKUPS\CompuCog_20260130_070757\CompuCog_Visual_v2 POSSIBLE KEEPER\loggers\input_logger.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\5ff3e7caf4f5__input_logger.py","camera;ctypes;input;keyboard;mouse;movement;process;psutil;system;webcam;win32 | "
"3","Machine/input/network collector","75","compucog","H:\_BACKUPS\CompuCog_20260130_071141\CompuCog_Visual_v2 POSSIBLE KEEPER\loggers\input_logger.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\f2ba205d1fef__input_logger.py","camera;ctypes;input;keyboard;mouse;movement;process;psutil;system;webcam;win32 | "
"3","Machine/input/network collector","75","compucog","H:\_BACKUPS\CompuCog_20260130_071835\CompuCog_Visual_v2_POSSIBLE_KEEPER\loggers\input_logger.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\91e6af709d4b__input_logger.py","camera;ctypes;input;keyboard;mouse;movement;process;psutil;system;webcam;win32 | "
"3","Machine/input/network collector","75","compucog","H:\CompuCog\loggers\input_logger.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\ed939ed76636__input_logger.py","camera;ctypes;input;keyboard;mouse;movement;process;psutil;system;webcam;win32 | "
"3","Machine/input/network collector","72","reaper","F:\DESKTOP PYTHON 6_17_25\reaper-phase4-complete\reaper-engine\reaper_network_analyzer.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\reaper\0703845f3a7c__reaper_network_analyzer.py","memory;movement;netstat;network;process;subprocess;system | "
"3","Machine/input/network collector","68","reaper","F:\DESKTOP PYTHON 6_17_25\reaper-phase4-complete\reaper-engine\live_packet_capture.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\reaper\5f853eac7829__live_packet_capture.py","keyboard;netstat;network;packet;process;subprocess;system;tasklist | packet capture"
"3","Machine/input/network collector","67","misc","F:\New folder\multi_logger_coordinator.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\misc\891bb07bf649__multi_logger_coordinator.py","ads_detector;camera;camera_movement;keyboard;memory;movement;process;system;trigger | "
"3","Machine/input/network collector","65","misc","F:\New folder\performance_logger_v3.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\misc\3fd4eba4c24c__performance_logger_v3.py","camera;input;keyboard;movement;process;system;trigger | "
"3","Machine/input/network collector","61","misc","F:\New folder\performance_logger_monolith.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\misc\49691a6f0864__performance_logger_monolith.py","camera;keyboard;movement;process;system;trigger | "
"3","Machine/input/network collector","61","compucog","H:\_BACKUPS\CompuCog_20260130_070311\CompuCog_Visual_v2 POSSIBLE KEEPER\loggers\process_logger.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\compucog\add92b163025__process_logger.py","keyboard;mss;network;process;psutil;system;trigger;wmi | "
"3","Machine/input/network collector","61","compucog","H:\_BACKUPS\CompuCog_20260130_070545\CompuCog_Visual_v2 POSSIBLE KEEPER\loggers\process_logger.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\compucog\76039e58ed92__process_logger.py","keyboard;mss;network;process;psutil;system;trigger;wmi | "
"3","Machine/input/network collector","61","compucog","H:\_BACKUPS\CompuCog_20260130_070757\CompuCog_Visual_v2 POSSIBLE KEEPER\loggers\process_logger.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\compucog\37e3a404c0e5__process_logger.py","keyboard;mss;network;process;psutil;system;trigger;wmi | "
"3","Machine/input/network collector","61","compucog","H:\_BACKUPS\CompuCog_20260130_071141\CompuCog_Visual_v2 POSSIBLE KEEPER\loggers\process_logger.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\compucog\f65e2197b3e7__process_logger.py","keyboard;mss;network;process;psutil;system;trigger;wmi | "
"3","Machine/input/network collector","61","compucog","H:\_BACKUPS\CompuCog_20260130_071835\CompuCog_Visual_v2_POSSIBLE_KEEPER\loggers\process_logger.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\compucog\7db369d2bc38__process_logger.py","keyboard;mss;network;process;psutil;system;trigger;wmi | "
"3","Machine/input/network collector","61","compucog","H:\CompuCog\loggers\process_logger.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\compucog\1ed61277b023__process_logger.py","keyboard;mss;network;process;psutil;system;trigger;wmi | "
"3","Machine/input/network collector","60","misc","F:\New folder\performance_logger_v2.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\misc\825f319c8fa3__performance_logger_v2.py","camera;keyboard;movement;process;system;trigger | "
"3","Machine/input/network collector","57","misc","F:\New folder\activity_logger.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\misc\e629795c19da__activity_logger.py","ctypes;input;keyboard;mouse;process;psutil;system;win32 | "
"3","Machine/input/network collector","57","compucog","H:\_BACKUPS\CompuCog_20260130_070311\CompuCog_Visual_v2 POSSIBLE KEEPER\loggers\activity_logger.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\831988dcb2f3__activity_logger.py","ctypes;input;keyboard;mouse;process;psutil;system;win32 | "
"3","Machine/input/network collector","57","compucog","H:\_BACKUPS\CompuCog_20260130_070545\CompuCog_Visual_v2 POSSIBLE KEEPER\loggers\activity_logger.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\6169b93fdd03__activity_logger.py","ctypes;input;keyboard;mouse;process;psutil;system;win32 | "
"3","Machine/input/network collector","57","compucog","H:\_BACKUPS\CompuCog_20260130_070757\CompuCog_Visual_v2 POSSIBLE KEEPER\loggers\activity_logger.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\cd10e8364dbe__activity_logger.py","ctypes;input;keyboard;mouse;process;psutil;system;win32 | "
"3","Machine/input/network collector","57","compucog","H:\_BACKUPS\CompuCog_20260130_071141\CompuCog_Visual_v2 POSSIBLE KEEPER\loggers\activity_logger.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\b671f5898d8b__activity_logger.py","ctypes;input;keyboard;mouse;process;psutil;system;win32 | "
"3","Machine/input/network collector","57","compucog","H:\_BACKUPS\CompuCog_20260130_071835\CompuCog_Visual_v2_POSSIBLE_KEEPER\loggers\activity_logger.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\ea221e224ae5__activity_logger.py","ctypes;input;keyboard;mouse;process;psutil;system;win32 | "
"3","Machine/input/network collector","57","compucog","H:\CompuCog\loggers\activity_logger.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\6e5b40b2dc03__activity_logger.py","ctypes;input;keyboard;mouse;process;psutil;system;win32 | "
"3","Machine/input/network collector","55","compucog","H:\_BACKUPS\CompuCog_20260130_070311\CompuCog_Visual_v2 POSSIBLE KEEPER\compucog\event_system\adapters\input_logger_adapter.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\046b7066ac67__input_logger_adapter.py","ctypes;input;keyboard;mouse;process;subprocess;system;win32 | "
"3","Machine/input/network collector","55","compucog","H:\_BACKUPS\CompuCog_20260130_070311\CompuCog_Visual_v2 POSSIBLE KEEPER\event_system\input_logger_adapter.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\affde0858f7a__input_logger_adapter.py","ctypes;input;keyboard;mouse;process;subprocess;system;win32 | "
"3","Machine/input/network collector","55","compucog","H:\_BACKUPS\CompuCog_20260130_070545\CompuCog_Visual_v2 POSSIBLE KEEPER\compucog\event_system\adapters\input_logger_adapter.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\e3fb322e8aa1__input_logger_adapter.py","ctypes;input;keyboard;mouse;process;subprocess;system;win32 | "
"3","Machine/input/network collector","55","compucog","H:\_BACKUPS\CompuCog_20260130_070545\CompuCog_Visual_v2 POSSIBLE KEEPER\event_system\input_logger_adapter.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\93a2c2a86249__input_logger_adapter.py","ctypes;input;keyboard;mouse;process;subprocess;system;win32 | "
"3","Machine/input/network collector","55","compucog","H:\_BACKUPS\CompuCog_20260130_070757\CompuCog_Visual_v2 POSSIBLE KEEPER\compucog\event_system\adapters\input_logger_adapter.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\fb4551960995__input_logger_adapter.py","ctypes;input;keyboard;mouse;process;subprocess;system;win32 | "
"3","Machine/input/network collector","55","compucog","H:\_BACKUPS\CompuCog_20260130_070757\CompuCog_Visual_v2 POSSIBLE KEEPER\event_system\input_logger_adapter.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\6e8c52ea3d0d__input_logger_adapter.py","ctypes;input;keyboard;mouse;process;subprocess;system;win32 | "
"3","Machine/input/network collector","55","compucog","H:\_BACKUPS\CompuCog_20260130_071141\CompuCog_Visual_v2 POSSIBLE KEEPER\compucog\event_system\adapters\input_logger_adapter.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\aacc0c0d9b88__input_logger_adapter.py","ctypes;input;keyboard;mouse;process;subprocess;system;win32 | "
"3","Machine/input/network collector","55","compucog","H:\_BACKUPS\CompuCog_20260130_071141\CompuCog_Visual_v2 POSSIBLE KEEPER\event_system\input_logger_adapter.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\318583b94c79__input_logger_adapter.py","ctypes;input;keyboard;mouse;process;subprocess;system;win32 | "
"3","Machine/input/network collector","55","compucog","H:\_BACKUPS\CompuCog_20260130_071835\CompuCog_Visual_v2_POSSIBLE_KEEPER\compucog\event_system\adapters\input_logger_adapter.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\4c90b77e791a__input_logger_adapter.py","ctypes;input;keyboard;mouse;process;subprocess;system;win32 | "
"3","Machine/input/network collector","55","compucog","H:\_BACKUPS\CompuCog_20260130_071835\CompuCog_Visual_v2_POSSIBLE_KEEPER\event_system\input_logger_adapter.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\c62f3a65e6b5__input_logger_adapter.py","ctypes;input;keyboard;mouse;process;subprocess;system;win32 | "
"3","Machine/input/network collector","55","compucog","H:\CompuCog\compucog\event_system\adapters\input_logger_adapter.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\c8fdae047c49__input_logger_adapter.py","ctypes;input;keyboard;mouse;process;subprocess;system;win32 | "
"3","Machine/input/network collector","55","compucog","H:\CompuCog\event_system\input_logger_adapter.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\5e06fc6b74ac__input_logger_adapter.py","ctypes;input;keyboard;mouse;process;subprocess;system;win32 | "
"3","Machine/input/network collector","52","reaper","F:\DESKTOP PYTHON 6_17_25\reaper-phase4-complete\reaper_network_analyzer.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\high_confidence_log_reasoners\reaper\91d8cb9bb4b8__reaper_network_analyzer.py","memory;netstat;network;packet;process;system | "
"3","Machine/input/network collector","52","compucog","H:\_BACKUPS\CompuCog_20260130_070311\CompuCog_Visual_v2 POSSIBLE KEEPER\compucog\event_system\adapters\activity_logger_adapter.py","H:\AnchorWorks_reasoning_toolbox_pull_list\Machine_Log_Reasoners_CURATED_20260515_190413\files\machine_collectors_loggers\compucog\fbe8c030ce44__activity_logger_adapter.py","ctypes;input;keyboard;mouse;process;psutil;subprocess;system;win32 | "
