"status","family","original","extracted_source","destination","bytes"
"copied_extracted","arc_solver","H:\arc_production_solver\arc_organ\pattern_engine.py","G:\New folder\Python_Reasoning_Functions_20260515_173222\functions_by_source\arc_solver\1f66ab63caa6__1f66ab63caa6__pattern_engine.functions.py","G:\AnchorWorks_reasoning_toolbox_pull_list\extracted_function_fallbacks\arc_solver\1f66ab63caa6__1f66ab63caa6__pattern_engine.functions.py","21950"
"copied_extracted","arc_solver","H:\arc_production_solver\arc_organ\arc_recognition_field.py","G:\New folder\Python_Reasoning_Functions_20260515_173222\functions_by_source\arc_solver\5f050450a35f__5f050450a35f__arc_recognition_field.functions.py","G:\AnchorWorks_reasoning_toolbox_pull_list\extracted_function_fallbacks\arc_solver\5f050450a35f__5f050450a35f__arc_recognition_field.functions.py","13035"
"copied_extracted","cortexos","F:\From removable drive\cortexos_organized\core_modules\topk_sparse_resonance.py","G:\New folder\Python_Reasoning_Functions_20260515_173222\functions_by_source\cortexos\27ef6d1d1bb5__27ef6d1d1bb5__topk_sparse_resonance.functions.py","G:\AnchorWorks_reasoning_toolbox_pull_list\extracted_function_fallbacks\cortexos\27ef6d1d1bb5__27ef6d1d1bb5__topk_sparse_resonance.functions.py","28370"
"copied_extracted","cortexos","F:\From removable drive\cortexos_organized\core_modules\context_engine.py","G:\New folder\Python_Reasoning_Functions_20260515_173222\functions_by_source\cortexos\39b10b6e16c5__39b10b6e16c5__context_engine.functions.py","G:\AnchorWorks_reasoning_toolbox_pull_list\extracted_function_fallbacks\cortexos\39b10b6e16c5__39b10b6e16c5__context_engine.functions.py","30711"
"copied_extracted","cortexos","F:\From removable drive\cortexos_organized\core_modules\trust_filter.py","G:\New folder\Python_Reasoning_Functions_20260515_173222\functions_by_source\cortexos\049d01a29e0c__049d01a29e0c__trust_filter.functions.py","G:\AnchorWorks_reasoning_toolbox_pull_list\extracted_function_fallbacks\cortexos\049d01a29e0c__049d01a29e0c__trust_filter.functions.py","32443"
"copied_extracted","cortexos","F:\From removable drive\cortexos_organized\core_modules\knowledge_reinforcer.py","G:\New folder\Python_Reasoning_Functions_20260515_173222\functions_by_source\cortexos\c0fbc283f01f__c0fbc283f01f__knowledge_reinforcer.functions.py","G:\AnchorWorks_reasoning_toolbox_pull_list\extracted_function_fallbacks\cortexos\c0fbc283f01f__c0fbc283f01f__knowledge_reinforcer.functions.py","42471"
"copied_extracted","cortexos","F:\From removable drive\cortexos_organized\core_modules\resonance_field.py","G:\New folder\Python_Reasoning_Functions_20260515_173222\functions_by_source\cortexos\68621cf30107__68621cf30107__resonance_field.functions.py","G:\AnchorWorks_reasoning_toolbox_pull_list\extracted_function_fallbacks\cortexos\68621cf30107__68621cf30107__resonance_field.functions.py","2132"
"copied_extracted","cortexos","F:\From removable drive\cortexos_organized\core_modules\resonance_reinforcer.py","G:\New folder\Python_Reasoning_Functions_20260515_173222\functions_by_source\cortexos\aea3a9abe9c2__aea3a9abe9c2__resonance_reinforcer.functions.py","G:\AnchorWorks_reasoning_toolbox_pull_list\extracted_function_fallbacks\cortexos\aea3a9abe9c2__aea3a9abe9c2__resonance_reinforcer.functions.py","32805"
"copied_extracted","compucog","H:\CompuCog\core\frame_to_grid.py","G:\New folder\Python_Reasoning_Functions_20260515_173222\functions_by_source\compucog\74147f9615b7__74147f9615b7__frame_to_grid.functions.py","G:\AnchorWorks_reasoning_toolbox_pull_list\extracted_function_fallbacks\compucog\74147f9615b7__74147f9615b7__frame_to_grid.functions.py","4162"
"copied_extracted","compucog","H:\CompuCog\memory\forge_memory\core\binary_log.py","G:\New folder\Python_Reasoning_Functions_20260515_173222\functions_by_source\compucog\84da29e6e0eb__84da29e6e0eb__binary_log.functions.py","G:\AnchorWorks_reasoning_toolbox_pull_list\extracted_function_fallbacks\compucog\84da29e6e0eb__84da29e6e0eb__binary_log.functions.py","10111"
"copied_extracted","compucog","H:\CompuCog\memory\forge_memory\query\query_layer.py","G:\New folder\Python_Reasoning_Functions_20260515_173222\functions_by_source\compucog\6495c1049b3d__6495c1049b3d__query_layer.functions.py","G:\AnchorWorks_reasoning_toolbox_pull_list\extracted_function_fallbacks\compucog\6495c1049b3d__6495c1049b3d__query_layer.functions.py","6606"
"copied_extracted","compucog","H:\CompuCog\memory\forge_memory\recognition\recognition_field.py","G:\New folder\Python_Reasoning_Functions_20260515_173222\functions_by_source\compucog\e8df3326fab3__e8df3326fab3__recognition_field.functions.py","G:\AnchorWorks_reasoning_toolbox_pull_list\extracted_function_fallbacks\compucog\e8df3326fab3__e8df3326fab3__recognition_field.functions.py","10209"
"copied_extracted","compucog","H:\CompuCog\memory\forge_memory\wal\pulse_writer.py","G:\New folder\Python_Reasoning_Functions_20260515_173222\functions_by_source\compucog\9e623d2ba26f__9e623d2ba26f__pulse_writer.functions.py","G:\AnchorWorks_reasoning_toolbox_pull_list\extracted_function_fallbacks\compucog\9e623d2ba26f__9e623d2ba26f__pulse_writer.functions.py","7556"
